idx,Country,Points,Year,Discipline
452,ESP,0,2021,Boulder
453,FIN,9.5,2021,Boulder
454,FRA,636.83,2021,Boulder
455,GBR,135.3,2021,Boulder
456,GER,443.61,2021,Boulder
457,GUA,0,2021,Boulder
458,HKG,0,2021,Boulder
459,HUN,0,2021,Boulder
460,IND,0,2021,Boulder
461,IRI,0,2021,Boulder
462,IRL,0,2021,Boulder
463,ISR,46.26,2021,Boulder
464,ITA,186.54,2021,Boulder
465,JPN,1559.74,2021,Boulder
466,KAZ,0,2021,Boulder
467,KOR,40,2021,Boulder
468,LAT,3.5,2021,Boulder
469,LTU,0,2021,Boulder
470,MEX,0,2021,Boulder
471,NED,5.04,2021,Boulder
472,NEP,0,2021,Boulder
473,NOR,0.52,2021,Boulder
474,POL,0,2021,Boulder
475,RUS,152.44,2021,Boulder
476,SGP,0,2021,Boulder
477,SLO,917.14,2021,Boulder
478,SRB,173,2021,Boulder
479,SUI,170.66,2021,Boulder
480,SVK,0,2021,Boulder
481,SWE,0,2021,Boulder
482,THA,0,2021,Boulder
483,TPE,0,2021,Boulder
484,UKR,9.52,2021,Boulder
485,USA,1179.21,2021,Boulder
486,ARG,0,2015,Speed
487,AUS,0,2015,Speed
488,AUT,164.9,2015,Speed
489,AZE,0.5,2015,Speed
490,BEL,0,2015,Speed
491,BRA,0,2015,Speed
492,BUL,0,2015,Speed
493,CAN,363.65,2015,Speed
494,CHI,0,2015,Speed
495,CHN,617,2015,Speed
496,CZE,322.7,2015,Speed
497,DEN,0,2015,Speed
498,ECU,50,2015,Speed
499,ESP,0,2015,Speed
500,FRA,1014.85,2015,Speed
501,GBR,0,2015,Speed
502,GER,0,2015,Speed
503,HKG,11,2015,Speed
504,INA,0,2015,Speed
505,IRI,288,2015,Speed
506,ITA,108.75,2015,Speed
507,JPN,34.55,2015,Speed
508,KAZ,352,2015,Speed
509,KOR,134,2015,Speed
510,MGL,0,2015,Speed
511,NZL,0,2015,Speed
512,PAK,0,2015,Speed
513,POL,1541.9,2015,Speed
514,RSA,0,2015,Speed
515,RUS,1969.95,2015,Speed
516,SGP,29,2015,Speed
517,SLO,0.75,2015,Speed
518,SRB,0,2015,Speed
519,SUI,0,2015,Speed
520,SWE,0,2015,Speed
521,THA,0,2015,Speed
522,TPE,0,2015,Speed
523,UKR,490.5,2015,Speed
